Bits,Matrix Size,Pipelining,Parallelism,Frequency,Slack,Slack,Comb Area,Buf Area,Non-Comb Area,Total Area,Dyn Power (uW),Leakage Power (uW)
12,8,0,1,1.80000000000000000000,MET,0.01,4558.71,232.75,5513.65,10072.4,4084.8000,209.332,
12,8,0,1,1.90000000000000000000,VIOLATED,-0.33,4659.52,246.848,5542.38,10201.9,3874.000,211.944,
12,8,0,1,2.00000000000000000000,VIOLATED,-0.27,4638.77,229.026,5534.66,10173.4,3680.2000,211.215,
12,8,0,1,2.10000000000000000000,VIOLATED,-0.16,4683.2,266.798,5538.65,10221.8,3505.7000,212.25,
12,8,0,1,2.20000000000000000000,VIOLATED,-0.03,4676.28,251.104,5539.72,10216,3348.2000,212.053,
12,8,0,1,2.30000000000000000000,MET,0,4621.22,211.47,5537.06,10158.3,3198.9000,210.553,
12,8,0,1,2.40000000000000000000,MET,0.01,4561.1,190.19,5530.14,10091.2,3061.8000,208.565,
12,8,0,8,1.60000000000000000000,MET,0,13230.6,1192.48,13290.4,26521,10975.5000,559.28,
12,8,0,8,1.59000000000000000000,MET,0,13263.3,1212.43,13305.9,26569.1,11047.7000,560.809,
12,8,0,8,1.58000000000000000000,MET,0,13251.9,1213.49,13326.1,26577.9,11123.1000,560.969,
12,8,0,8,1.57000000000000000000,MET,0,13165.1,1200.19,13322.9,26488,11179.8000,559.122,
12,8,0,8,1.56000000000000000000,MET,0,13226.3,1223.6,13341.2,26567.5,11255.2000,561.209,
12,8,0,8,1.55000000000000000000,MET,0,13291,1255.79,13330.1,26621,11334.3000,562.432,
12,8,0,8,1.54000000000000000000,MET,0,13362.2,1275.74,13322.1,26684.3,11413.4000,563.972,
12,8,0,8,1.53000000000000000000,MET,0,13404.3,1235.57,13368.6,26772.9,11505.3000,567.378,
12,8,0,8,1.52000000000000000000,MET,0,13475.6,1291.16,13380.1,26855.6,11585.000,569.437,
12,8,0,8,1.51000000000000000000,MET,0,13612,1342.5,13376.1,26988.1,11680.6000,573.58,
12,8,0,8,1.50000000000000000000,MET,0,13625.3,1330,13385.1,27010.4,11756.6000,573.262,
